"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-09-30,78182,"46561","IN","South Bend","Saint Joseph","Osceola",6857,135900,-0.00512445095168375,-0.0130718954248366,-0.089142091152815,0.0128423550715344,-0.000367174999980957,"2015-11","2015-Q4",155900,-0.128287363694676,"2015-02"
2016-09-30,59188,"03766","NH","Claremont","Grafton","Lebanon",6858,188000,0.00159829515183804,0.000532197977647685,0.0123855681206247,0.0136247762370303,-0.0024144342069834,"2007-09","2007-Q3",207300,-0.0931017848528702,"2005-08"
2016-09-30,58280,"01119","MA","Springfield","Hampden","Springfield",6859,147700,0.0109514031485284,0.0401408450704225,0.0512455516014235,0.0189001875805113,-0.00821482299720266,"2006-09","2006-Q3",160400,-0.0791770573566085,"2005-06"
2016-09-30,60213,"06238","CT","Hartford","Tolland","Coventry",6860,209500,-0.00663821716453296,-0.0127238454288407,-0.0145813734713076,-0.0117907541115879,-0.0181450384642723,"2007-04","2007-Q2",254000,-0.175196850393701,"2004-08"
2016-09-30,60500,"06903","CT","Stamford","Fairfield","Stamford",6861,686200,-0.000582580833090591,-0.00160046558998982,-0.0452205370808404,0.00279210813066522,-0.0218103350332893,"2007-10","2007-Q4",871000,-0.212169919632606,"2002-10"
2016-09-30,88768,"70739","LA","Baton Rouge","East Baton Rouge","Greenwell Springs",6862,199100,0.00050251256281407,0.00759109311740891,0.0721593968766828,0.0444357999764327,,"2016-09","2016-Q3",199100,0,"2016-09"
2016-09-30,58746,"02364","MA","Boston","Plymouth","Town of Kingston",6863,363900,0.00413907284768212,0.0167644593461861,0.0584642233856894,0.0294125684109088,-0.00225268285206504,"2005-12","2005-Q4",392300,-0.0723935763446342,"2004-04"
2016-09-30,65332,"18055","PA","Allentown","Northampton","Lower Saucon Township",6864,186000,0,-0.00107411385606874,-0.014308426073132,0.00491021981350204,-0.0174046035127797,"2006-09","2006-Q3",221700,-0.161028416779432,"2005-03"
2016-09-30,76763,"43604","OH","Toledo","Lucas","Toledo",6865,48400,0.0386266094420601,0.0900900900900901,0.0020703933747412,-0.0107982128726088,,"2011-02","2011-Q1",56200,-0.138790035587189,
2016-09-30,69448,"27608","NC","Raleigh","Wake","Raleigh",6866,504300,0.00538277511961722,0.0287637698898409,0.0759547685086409,0.0480614903744292,0.0310063171413937,"2016-09","2016-Q3",504300,0,"2016-09"
