,Location,Zhvi
792,"34.22, -118.44",401500
793,"34.17, -118.61",691800
794,"43.98, -121.27",356700
795,"32.71, -116.99",414400
796,"44.16, -88.47",145000
797,"33.52, -84.35",112200
798,"38.49, -121.53",394000
799,"36.1, -115.02",161300
800,"36.18, -94.14",142900
801,"28.24, -82.71",214400
802,"36.88, -119.77",299500
803,"40.86, -79.89",144400
804,"39.96, -86.1",267700
805,"33.96, -117.31",306700
806,"26.21, -98.23",138600
807,"40.68, -122.25",249200
808,"37.07, -76.51",175300
809,"33.6, -83.85",122000
810,"38.82, -77.08",605500
811,"41.84, -87.75",145700
812,"44.63, -123.27",327900
813,"34.6, -120.39",301800
814,"47.91, -97.07",214600
815,"34.72, -80.77",111400
816,"29.76, -95.38",124100
817,"44.94, -93.1",236200
818,"39.69, -104.81",483500
819,"40.59, -75.47",144100
820,"27.52, -82.57",184200
821,"42.09, -76.05",105000
822,"27.95, -82.48",128800
823,"38.81, -76.75",294500
824,"40.55, -105.06",322600
825,"38.0, -121.32",227300
826,"36.07, -94.15",198400
827,"33.83, -118.38",1067200
828,"33.94, -84.2",132400
829,"35.82, -78.65",180000
830,"32.21, -110.88",136400
831,"40.17, -105.11",344400
832,"33.24, -111.96",309900
833,"42.68, -83.12",254100
834,"31.09, -97.71",107300
835,"35.05, -89.67",290400
836,"33.84, -117.95",478400
837,"37.77, -122.49",1359000
838,"40.85, -73.97",523300
839,"35.11, -106.62",172200
840,"37.06, -121.55",652600
841,"42.13, -83.22",146900
842,"29.79, -90.82",160700
843,"39.77, -86.14",60800
844,"34.02, -117.93",410800
845,"34.08, -118.49",2310300
846,"41.52, -88.12",136900
847,"29.45, -98.5",175400
848,"35.67, -105.95",224900
849,"44.43, -88.07",195900
850,"39.09, -94.58",125500
851,"44.94, -93.1",193000
852,"26.31, -80.12",111200
853,"39.98, -82.98",83100
854,"34.17, -117.24",235100
855,"33.74, -117.82",638700
856,"34.21, -77.91",184000
857,"40.35, -74.65",587900
858,"30.33, -81.65",134000
859,"36.08, -79.44",140400
860,"36.06, -115.31",244500
861,"28.5, -81.37",217200
862,"40.72, -73.25",283000
863,"34.03, -117.75",349900
864,"32.78, -79.99",230400
865,"35.11, -106.62",169200
866,"34.09, -117.96",394700
867,"34.13, -117.15",309600
868,"33.04, -96.74",258300
869,"37.19, -93.28",84900
870,"40.66, -73.47",448300
871,"33.7, -116.4",324800
872,"42.51, -70.9",322500
873,"35.82, -78.65",304000
874,"34.98, -80.54",166700
875,"38.48, -121.64",613500
876,"39.76, -104.87",245800
877,"42.38, -83.1",37700
878,"42.38, -83.1",36100
879,"39.36, -74.42",122500
880,"44.82, -91.49",140000
881,"26.74, -80.12",120600
882,"45.47, -122.64",511400
883,"33.45, -111.64",286900
884,"33.5, -111.98",431000
885,"36.1, -80.24",115400
886,"35.11, -106.62",155300
887,"32.79, -96.76",281400
888,"32.79, -96.76",103600
889,"41.45, -82.71",85500
